接口编号,方法,旧路径,源码位置,阶段0模块,新模块,新控制器,新服务,新仓储,迁移批次,高风险类别,前端调用方,兼容结论
API-0082,ALL,/api/mobile/v2/orders/:id/price-adjustments,backend/server.js:8715,移动端二期,移动端,移动端二期适配控制器,移动端适配服务（调用订单服务）,订单仓储、订单事件仓储、移动端草稿仓储,批次七,内存全量扫描,待确认,保留 ALL /api/mobile/v2/orders/:id/price-adjustments 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0083,ALL,/api/mobile/v2/orders/:id/adjust-price,backend/server.js:8715,移动端二期,移动端,移动端二期适配控制器,移动端适配服务（调用订单服务）,订单仓储、订单事件仓储、移动端草稿仓储,批次七,内存全量扫描,待确认,保留 ALL /api/mobile/v2/orders/:id/adjust-price 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0084,ALL,/api/mobile/v2/orders/:id/cancel,backend/server.js:8715,移动端二期,移动端,移动端二期适配控制器,移动端适配服务（调用订单服务）,订单仓储、订单事件仓储、移动端草稿仓储,批次七,内存全量扫描,待确认,保留 ALL /api/mobile/v2/orders/:id/cancel 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0085,ALL,/api/mobile/v2/orders/:id/refund,backend/server.js:8715,移动端二期,移动端,移动端二期适配控制器,移动端适配服务（调用订单服务）,订单仓储、订单事件仓储、移动端草稿仓储,批次七,内存全量扫描,待确认,保留 ALL /api/mobile/v2/orders/:id/refund 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0086,ALL,/api/mobile/v2/orders/:id/refunds,backend/server.js:8715,移动端二期,移动端,移动端二期适配控制器,移动端适配服务（调用订单服务）,订单仓储、订单事件仓储、移动端草稿仓储,批次七,内存全量扫描,待确认,保留 ALL /api/mobile/v2/orders/:id/refunds 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0087,GET,/api/mobile/v2/quotes/:id/events,backend/server.js:8741,移动端二期,移动端,移动端二期适配控制器,移动端适配服务（调用报价服务）,报价仓储、报价快照仓储、移动端草稿仓储,批次七,无分页,待确认,保留 GET /api/mobile/v2/quotes/:id/events 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0088,GET,/api/mobile/v2/orders/:id/events,backend/server.js:8742,移动端二期,移动端,移动端二期适配控制器,移动端适配服务（调用订单服务）,订单仓储、订单事件仓储、移动端草稿仓储,批次七,无分页,待确认,保留 GET /api/mobile/v2/orders/:id/events 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0089,GET,/api/mobile/v2/partners,backend/server.js:8744,移动端二期,移动端,移动端二期适配控制器,移动端适配服务（调用渠道服务）,渠道仓储,批次七,信任前端身份、内存全量扫描,frontend/mobile-v2-app.js:96,保留 GET /api/mobile/v2/partners 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0090,GET,/api/mobile/v2/partners/:id,backend/server.js:8767,移动端二期,移动端,移动端二期适配控制器,移动端适配服务（调用渠道服务）,渠道仓储,批次七,无分页、内存全量扫描,待确认,保留 GET /api/mobile/v2/partners/:id 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0091,GET,/api/mobile/v2/catalog,backend/server.js:8782,移动端二期,移动端,移动端二期适配控制器,移动端适配服务（调用产品服务）,产品仓储,批次七,暂无显性高风险,"frontend/mobile-v2-app.js:84
frontend/mobile-v2-app.js:97",保留 GET /api/mobile/v2/catalog 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0092,POST,/api/mobile/v2/logout,backend/server.js:8789,移动端二期,移动端,移动端二期适配控制器,移动端适配服务,移动端草稿仓储、移动端会话仓储,批次七,暂无显性高风险,"frontend/mobile-v2-api.js:174
frontend/mobile-v2-api.js:252",保留 POST /api/mobile/v2/logout 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0093,GET,/api/mobile/registrations,backend/server.js:8825,移动端一期,移动端,移动端一期适配控制器,移动端适配服务（调用报备服务）,移动端草稿仓储、报备仓储,批次七,无分页、内存全量扫描,"frontend/mobile-app.js:496
frontend/mobile-app.js:550
frontend/mobile-app.js:557
frontend/mobile-app.js:616
frontend/mobile-app.js:948
frontend/mobile-app.js:961",保留 GET /api/mobile/registrations 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0094,GET,/api/mobile/company-search,backend/server.js:8874,移动端一期,移动端,移动端一期适配控制器,移动端适配服务,移动端草稿仓储、移动端会话仓储,批次七,暂无显性高风险,frontend/mobile-app.js:908,保留 GET /api/mobile/company-search 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0095,GET,/api/mobile/registrations/:id,backend/server.js:8888,移动端一期,移动端,移动端一期适配控制器,移动端适配服务（调用报备服务）,移动端草稿仓储、报备仓储,批次七,无分页,待确认,保留 GET /api/mobile/registrations/:id 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0096,POST,/api/mobile/registrations,backend/server.js:8892,移动端一期,移动端,移动端一期适配控制器,移动端适配服务（调用报备服务）,移动端草稿仓储、报备仓储,批次七,信任前端身份、内存全量扫描,"frontend/mobile-app.js:496
frontend/mobile-app.js:550
frontend/mobile-app.js:557
frontend/mobile-app.js:616
frontend/mobile-app.js:948
frontend/mobile-app.js:961",保留 POST /api/mobile/registrations 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0097,GET,/api/mobile/opportunities,backend/server.js:8933,移动端一期,移动端,移动端一期适配控制器,移动端适配服务（调用商机服务）,商机仓储、商机事件仓储,批次七,无分页、内存全量扫描,"frontend/mobile-app.js:1007
frontend/mobile-app.js:1009
frontend/mobile-app.js:1043
frontend/mobile-app.js:496
frontend/mobile-app.js:551
frontend/mobile-app.js:558",保留 GET /api/mobile/opportunities 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0098,GET,/api/mobile/opportunities/:id,backend/server.js:8941,移动端一期,移动端,移动端一期适配控制器,移动端适配服务（调用商机服务）,商机仓储、商机事件仓储,批次七,无分页,待确认,保留 GET /api/mobile/opportunities/:id 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0099,POST,/api/mobile/opportunities/:id/follow-ups,backend/server.js:8945,移动端一期,移动端,移动端一期适配控制器,移动端适配服务（调用商机服务）,商机仓储、商机事件仓储,批次七,信任前端身份、内存全量扫描,待确认,保留 POST /api/mobile/opportunities/:id/follow-ups 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0100,POST,/api/mobile/opportunities,backend/server.js:9001,移动端一期,移动端,移动端一期适配控制器,移动端适配服务（调用商机服务）,商机仓储、商机事件仓储,批次七,信任前端身份、内存全量扫描,"frontend/mobile-app.js:1007
frontend/mobile-app.js:1009
frontend/mobile-app.js:1043
frontend/mobile-app.js:496
frontend/mobile-app.js:551
frontend/mobile-app.js:558",保留 POST /api/mobile/opportunities 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0101,GET,/api/mobile/quotes,backend/server.js:9054,移动端一期,移动端,移动端一期适配控制器,移动端适配服务（调用报价服务）,报价仓储、报价快照仓储、移动端草稿仓储,批次七,无分页、内存全量扫描,"frontend/mobile-app.js:1081
frontend/mobile-app.js:496
frontend/mobile-app.js:552
frontend/mobile-app.js:559",保留 GET /api/mobile/quotes 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0102,GET,/api/mobile/quotes/:id,backend/server.js:9062,移动端一期,移动端,移动端一期适配控制器,移动端适配服务（调用报价服务）,报价仓储、报价快照仓储、移动端草稿仓储,批次七,无分页,待确认,保留 GET /api/mobile/quotes/:id 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0103,POST,/api/mobile/quotes/:id/convert-order,backend/server.js:9066,移动端一期,移动端,移动端一期适配控制器,移动端适配服务（调用报价服务）,报价仓储、报价快照仓储、移动端草稿仓储,批次七,信任前端身份、内存全量扫描,待确认,保留 POST /api/mobile/quotes/:id/convert-order 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0104,GET,/api/mobile/orders,backend/server.js:9141,移动端一期,移动端,移动端一期适配控制器,移动端适配服务（调用订单服务）,订单仓储、订单事件仓储、移动端草稿仓储,批次七,无分页、内存全量扫描,"frontend/mobile-app.js:1081
frontend/mobile-app.js:496
frontend/mobile-app.js:553
frontend/mobile-app.js:560",保留 GET /api/mobile/orders 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0105,GET,/api/mobile/orders/:id,backend/server.js:9149,移动端一期,移动端,移动端一期适配控制器,移动端适配服务（调用订单服务）,订单仓储、订单事件仓储、移动端草稿仓储,批次七,无分页,待确认,保留 GET /api/mobile/orders/:id 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0106,GET,/api/mobile/partners,backend/server.js:9153,移动端一期,移动端,移动端一期适配控制器,移动端适配服务（调用渠道服务）,渠道仓储,批次七,信任前端身份、无分页、内存全量扫描,"frontend/mobile-app.js:497
frontend/mobile-app.js:554",保留 GET /api/mobile/partners 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0107,GET,/api/mobile/partners/:id,backend/server.js:9166,移动端一期,移动端,移动端一期适配控制器,移动端适配服务（调用渠道服务）,渠道仓储,批次七,无分页,待确认,保留 GET /api/mobile/partners/:id 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0108,PUT,/api/mobile/registrations/:id/status,backend/server.js:9170,移动端一期,移动端,移动端一期适配控制器,移动端适配服务（调用报备服务）,移动端草稿仓储、报备仓储,批次七,内存全量扫描,待确认,保留 PUT /api/mobile/registrations/:id/status 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0109,GET,/api/mobile/pending-approvals,backend/server.js:9191,移动端一期,移动端,移动端一期适配控制器,移动端适配服务,移动端草稿仓储、移动端会话仓储,批次七,无分页、内存全量扫描,frontend/mobile-app.js:497,保留 GET /api/mobile/pending-approvals 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0110,PUT,/api/mobile/partners/:id/status,backend/server.js:9198,移动端一期,移动端,移动端一期适配控制器,移动端适配服务（调用渠道服务）,渠道仓储,批次七,内存全量扫描,待确认,保留 PUT /api/mobile/partners/:id/status 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0111,POST,/api/mobile/logout,backend/server.js:9224,移动端一期,移动端,移动端一期适配控制器,移动端适配服务,移动端草稿仓储、移动端会话仓储,批次七,内存全量扫描,frontend/mobile-app.js:1158,保留 POST /api/mobile/logout 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0112,PUT,/api/mobile/pending-approvals/:id,backend/server.js:9234,移动端一期,移动端,移动端一期适配控制器,移动端适配服务,移动端草稿仓储、移动端会话仓储,批次七,信任前端身份、内存全量扫描,待确认,保留 PUT /api/mobile/pending-approvals/:id 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0113,GET,/api/channel-operations/overview,backend/server.js:9736,渠道管理,渠道,渠道控制器,渠道运营服务,渠道目标仓储、渠道拜访仓储、业务统计仓储,批次二,信任前端身份,待确认,保留 GET /api/channel-operations/overview 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0114,GET,/api/channel-targets,backend/server.js:9750,渠道管理,渠道,渠道控制器,渠道运营服务,渠道目标仓储、渠道拜访仓储、业务统计仓储,批次二,信任前端身份、无分页、内存全量扫描,待确认,保留 GET /api/channel-targets 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0115,POST,/api/channel-targets,backend/server.js:9767,渠道管理,渠道,渠道控制器,渠道运营服务,渠道目标仓储、渠道拜访仓储、业务统计仓储,批次二,信任前端身份、内存全量扫描,待确认,保留 POST /api/channel-targets 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0116,PUT,/api/channel-targets/:id,backend/server.js:9821,渠道管理,渠道,渠道控制器,渠道运营服务,渠道目标仓储、渠道拜访仓储、业务统计仓储,批次二,信任前端身份、内存全量扫描,待确认,保留 PUT /api/channel-targets/:id 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0117,GET,/api/channel-visits,backend/server.js:9843,渠道管理,渠道,渠道控制器,渠道运营服务,渠道目标仓储、渠道拜访仓储、业务统计仓储,批次二,信任前端身份、无分页、内存全量扫描,待确认,保留 GET /api/channel-visits 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0118,POST,/api/channel-visits,backend/server.js:9855,渠道管理,渠道,渠道控制器,渠道运营服务,渠道目标仓储、渠道拜访仓储、业务统计仓储,批次二,信任前端身份、内存全量扫描,待确认,保留 POST /api/channel-visits 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0119,PUT,/api/channel-visits/:id,backend/server.js:9895,渠道管理,渠道,渠道控制器,渠道运营服务,渠道目标仓储、渠道拜访仓储、业务统计仓储,批次二,信任前端身份、内存全量扫描,待确认,保留 PUT /api/channel-visits/:id 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0120,POST,/api/admin/accounts,backend/server.js:9922,账号管理,账号,账号控制器,账号服务,账号仓储、会话仓储,批次二,信任前端身份、内存全量扫描,"frontend/admin-app.js:11351
frontend/api.js:96
frontend/api.js:97",保留 POST /api/admin/accounts 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0121,POST,/api/users,backend/server.js:9977,账号管理,账号,账号控制器,账号服务,账号仓储、会话仓储,批次二,信任前端身份、内存全量扫描,"frontend/admin-app.js:10097
frontend/admin-app.js:11247
frontend/admin-app.js:15842
frontend/admin-app.js:259
frontend/api-client.js:472
frontend/api-client.js:479",保留 POST /api/users 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0122,GET,/api/meta/prefecture-cities,backend/server.js:10113,待确认模块,产品,产品控制器、工作量配置控制器,产品树服务、元数据查询服务,产品仓储、产品发布仓储,批次一,暂无显性高风险,frontend/admin-app.js:8700,保留 GET /api/meta/prefecture-cities 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0123,GET,/api/partners,backend/server.js:10118,渠道管理,渠道,渠道控制器,渠道服务,渠道仓储、渠道成员仓储、渠道关系仓储,批次二,信任前端身份、无分页、内存全量扫描,"frontend/admin-app.js:10051
frontend/admin-app.js:13674
frontend/admin-app.js:14248
frontend/admin-app.js:1706
frontend/admin-app.js:2285
frontend/admin-app.js:254
frontend/admin-app.js:773
frontend/admin-app.js:8687
frontend/admin-app.js:9519
frontend/api-client.js:416
frontend/api.js:88
frontend/app.js:483
frontend/partner-app.js:1163",保留 GET /api/partners 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0124,POST,/api/partners,backend/server.js:10163,渠道管理,渠道,渠道控制器,渠道服务,渠道仓储、渠道成员仓储、渠道关系仓储,批次二,信任前端身份、内存全量扫描,"frontend/admin-app.js:10051
frontend/admin-app.js:13674
frontend/admin-app.js:14248
frontend/admin-app.js:1706
frontend/admin-app.js:2285
frontend/admin-app.js:254
frontend/admin-app.js:773
frontend/admin-app.js:8687
frontend/admin-app.js:9519
frontend/api-client.js:416
frontend/api.js:88
frontend/app.js:483
frontend/partner-app.js:1163",保留 POST /api/partners 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0125,GET,/api/partner-profile-products,backend/server.js:10305,待确认模块,渠道,渠道控制器,渠道服务,渠道仓储、渠道成员仓储、渠道关系仓储,批次二,无分页、内存全量扫描,"frontend/admin-app.js:9192
frontend/admin-app.js:9329",保留 GET /api/partner-profile-products 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0126,POST,/api/partner-profile-products,backend/server.js:10321,待确认模块,渠道,渠道控制器,渠道服务,渠道仓储、渠道成员仓储、渠道关系仓储,批次二,内存全量扫描,"frontend/admin-app.js:9192
frontend/admin-app.js:9329",保留 POST /api/partner-profile-products 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0127,PUT,/api/partner-profile-products/:id,backend/server.js:10366,待确认模块,渠道,渠道控制器,渠道服务,渠道仓储、渠道成员仓储、渠道关系仓储,批次二,内存全量扫描,待确认,保留 PUT /api/partner-profile-products/:id 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0128,DELETE,/api/partner-profile-products/:id,backend/server.js:10418,待确认模块,渠道,渠道控制器,渠道服务,渠道仓储、渠道成员仓储、渠道关系仓储,批次二,内存全量扫描,待确认,保留 DELETE /api/partner-profile-products/:id 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0129,GET,/api/partners/:id/profile,backend/server.js:10454,渠道管理,渠道,渠道控制器,渠道档案服务,渠道仓储、渠道档案仓储,批次二,无分页、内存全量扫描,待确认,保留 GET /api/partners/:id/profile 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0130,PUT,/api/partners/:id/profile,backend/server.js:10471,渠道管理,渠道,渠道控制器,渠道档案服务,渠道仓储、渠道档案仓储,批次二,内存全量扫描,待确认,保留 PUT /api/partners/:id/profile 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0131,GET,/api/partners/:id,backend/server.js:10518,渠道管理,渠道,渠道控制器,渠道服务,渠道仓储、渠道成员仓储、渠道关系仓储,批次二,无分页、内存全量扫描,待确认,保留 GET /api/partners/:id 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0132,PUT,/api/partners/:id/status,backend/server.js:10542,渠道管理,渠道,渠道控制器,渠道服务,渠道仓储、渠道成员仓储、渠道关系仓储,批次二,内存全量扫描,待确认,保留 PUT /api/partners/:id/status 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0133,POST,/api/partners/:id/staff,backend/server.js:10570,渠道管理,渠道,渠道控制器,渠道成员服务、账号服务,渠道成员仓储、账号仓储,批次二,信任前端身份、内存全量扫描,待确认,保留 POST /api/partners/:id/staff 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0134,PUT,/api/partners/:partnerId/staff/:staffId,backend/server.js:10715,渠道管理,渠道,渠道控制器,渠道成员服务、账号服务,渠道成员仓储、账号仓储,批次二,信任前端身份,待确认,保留 PUT /api/partners/:partnerId/staff/:staffId 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0135,PUT,/api/partners/:partnerId/staff/:staffId/status,backend/server.js:10769,渠道管理,渠道,渠道控制器,渠道成员服务、账号服务,渠道成员仓储、账号仓储,批次二,信任前端身份、内存全量扫描,待确认,保留 PUT /api/partners/:partnerId/staff/:staffId/status 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0136,PUT,/api/partners/:partnerId/staff/:staffId/password,backend/server.js:10833,渠道管理,渠道,渠道控制器,渠道成员服务、账号服务,渠道成员仓储、账号仓储,批次二,信任前端身份,待确认,保留 PUT /api/partners/:partnerId/staff/:staffId/password 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0137,DELETE,/api/partners/:partnerId/staff/:staffId,backend/server.js:10850,渠道管理,渠道,渠道控制器,渠道成员服务、账号服务,渠道成员仓储、账号仓储,批次二,内存全量扫描,待确认,保留 DELETE /api/partners/:partnerId/staff/:staffId 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0138,PUT,/api/users/:id/status,backend/server.js:10886,账号管理,账号,账号控制器,账号状态服务,账号仓储、会话仓储,批次二,信任前端身份、内存全量扫描,待确认,保留 PUT /api/users/:id/status 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0139,PUT,/api/partners/:id,backend/server.js:10932,渠道管理,渠道,渠道控制器,渠道服务,渠道仓储、渠道成员仓储、渠道关系仓储,批次二,信任前端身份、内存全量扫描,待确认,保留 PUT /api/partners/:id 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0140,DELETE,/api/partners/:id,backend/server.js:11035,渠道管理,渠道,渠道控制器,渠道服务,渠道仓储、渠道成员仓储、渠道关系仓储,批次二,信任前端身份、内存全量扫描,待确认,保留 DELETE /api/partners/:id 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0141,PUT,/api/partners/:id/level,backend/server.js:11111,渠道管理,渠道,渠道控制器,渠道层级服务,渠道仓储、渠道关系仓储,批次二,信任前端身份、内存全量扫描,待确认,保留 PUT /api/partners/:id/level 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0142,PUT,/api/partners/:id/unbind,backend/server.js:11192,渠道管理,渠道,渠道控制器,渠道层级服务,渠道仓储、渠道关系仓储,批次二,内存全量扫描,待确认,保留 PUT /api/partners/:id/unbind 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0143,PUT,/api/partners/:id/add-parent,backend/server.js:11255,渠道管理,渠道,渠道控制器,渠道层级服务,渠道仓储、渠道关系仓储,批次二,信任前端身份、内存全量扫描,待确认,保留 PUT /api/partners/:id/add-parent 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0144,PUT,/api/partners/:id/rebind,backend/server.js:11331,渠道管理,渠道,渠道控制器,渠道层级服务,渠道仓储、渠道关系仓储,批次二,信任前端身份、内存全量扫描,待确认,保留 PUT /api/partners/:id/rebind 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0145,POST,/api/partners/secondary/apply,backend/server.js:11386,渠道管理,渠道,渠道控制器,二级渠道申请服务、审批服务,渠道仓储、审批仓储,批次二,信任前端身份、内存全量扫描,待确认,保留 POST /api/partners/secondary/apply 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0146,GET,/api/partners/secondary/pending,backend/server.js:11485,渠道管理,渠道,渠道控制器,二级渠道申请服务、审批服务,渠道仓储、审批仓储,批次二,信任前端身份、无分页、内存全量扫描,待确认,保留 GET /api/partners/secondary/pending 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0147,PUT,/api/partners/secondary/:id/approve,backend/server.js:11500,渠道管理,渠道,渠道控制器,二级渠道申请服务、审批服务,渠道仓储、审批仓储,批次二,内存全量扫描,待确认,保留 PUT /api/partners/secondary/:id/approve 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0148,PUT,/api/partners/secondary/:id/reject,backend/server.js:11539,渠道管理,渠道,渠道控制器,二级渠道申请服务、审批服务,渠道仓储、审批仓储,批次二,内存全量扫描,待确认,保留 PUT /api/partners/secondary/:id/reject 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0149,PUT,/api/orders/:id/primary-confirm,backend/server.js:11574,订单管理,订单,订单控制器,订单一级确认服务,订单仓储、订单事件仓储,批次五,信任前端身份、内存全量扫描,待确认,保留 PUT /api/orders/:id/primary-confirm 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0150,PUT,/api/orders/:id/primary-reject,backend/server.js:11698,订单管理,订单,订单控制器,订单一级确认服务,订单仓储、订单事件仓储,批次五,信任前端身份、内存全量扫描,待确认,保留 PUT /api/orders/:id/primary-reject 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0151,GET,/api/pending-approvals,backend/server.js:11818,审批管理,审批,审批控制器,审批服务,审批仓储、审批历史仓储,批次二,信任前端身份、无分页、内存全量扫描,"frontend/admin-app.js:10159
frontend/admin-app.js:11721
frontend/admin-app.js:396
frontend/admin-app.js:752
frontend/api-client.js:656",保留 GET /api/pending-approvals 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0152,PUT,/api/pending-approvals/:id,backend/server.js:11832,审批管理,审批,审批控制器,审批服务,审批仓储、审批历史仓储,批次二,信任前端身份、内存全量扫描,待确认,保留 PUT /api/pending-approvals/:id 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0153,GET,/api/dashboard/stats,backend/server.js:11916,统计看板,渠道,渠道控制器,渠道运营服务,渠道目标仓储、渠道拜访仓储、业务统计仓储,批次二,信任前端身份、内存全量扫描,frontend/api-client.js:270,保留 GET /api/dashboard/stats 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0154,GET,/api/product-tree,backend/server.js:11944,产品管理,产品,产品控制器、工作量配置控制器,产品树服务、元数据查询服务,产品仓储、产品发布仓储,批次一,内存全量扫描,"frontend/admin-app.js:12698
frontend/admin-app.js:4007
frontend/app.js:2256
frontend/app.js:3340
frontend/partner-app.js:3542
frontend/partner-app.js:5531
frontend/partner-app.js:7729",保留 GET /api/product-tree 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0155,GET,/api/categories,backend/server.js:11983,产品管理,产品,产品控制器、工作量配置控制器,产品服务、产品树服务、工作量配置服务,产品仓储、产品发布仓储、工作量规则仓储,批次一,无分页、内存全量扫描,"frontend/admin-app.js:6966
frontend/admin-app.js:7100",保留 GET /api/categories 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0156,POST,/api/categories,backend/server.js:12002,产品管理,产品,产品控制器、工作量配置控制器,产品服务、产品树服务、工作量配置服务,产品仓储、产品发布仓储、工作量规则仓储,批次一,暂无显性高风险,"frontend/admin-app.js:6966
frontend/admin-app.js:7100",保留 POST /api/categories 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0157,PUT,/api/categories/:id,backend/server.js:12020,产品管理,产品,产品控制器、工作量配置控制器,产品服务、产品树服务、工作量配置服务,产品仓储、产品发布仓储、工作量规则仓储,批次一,内存全量扫描,待确认,保留 PUT /api/categories/:id 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0158,DELETE,/api/categories/:id,backend/server.js:12031,产品管理,产品,产品控制器、工作量配置控制器,产品服务、产品树服务、工作量配置服务,产品仓储、产品发布仓储、工作量规则仓储,批次一,内存全量扫描,待确认,保留 DELETE /api/categories/:id 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0159,GET,/api/modules,backend/server.js:12055,产品管理,产品,产品控制器、工作量配置控制器,产品服务、产品树服务、工作量配置服务,产品仓储、产品发布仓储、工作量规则仓储,批次一,无分页、内存全量扫描,"frontend/admin-app.js:6967
frontend/admin-app.js:7138",保留 GET /api/modules 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0160,POST,/api/modules,backend/server.js:12073,产品管理,产品,产品控制器、工作量配置控制器,产品服务、产品树服务、工作量配置服务,产品仓储、产品发布仓储、工作量规则仓储,批次一,内存全量扫描,"frontend/admin-app.js:6967
frontend/admin-app.js:7138",保留 POST /api/modules 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0161,PUT,/api/modules/:id,backend/server.js:12091,产品管理,产品,产品控制器、工作量配置控制器,产品服务、产品树服务、工作量配置服务,产品仓储、产品发布仓储、工作量规则仓储,批次一,内存全量扫描,待确认,保留 PUT /api/modules/:id 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0162,DELETE,/api/modules/:id,backend/server.js:12102,产品管理,产品,产品控制器、工作量配置控制器,产品服务、产品树服务、工作量配置服务,产品仓储、产品发布仓储、工作量规则仓储,批次一,内存全量扫描,待确认,保留 DELETE /api/modules/:id 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0163,GET,/api/features,backend/server.js:12122,产品管理,产品,产品控制器、工作量配置控制器,产品服务、产品树服务、工作量配置服务,产品仓储、产品发布仓储、工作量规则仓储,批次一,无分页、内存全量扫描,"frontend/admin-app.js:12699
frontend/admin-app.js:2859
frontend/admin-app.js:4014
frontend/admin-app.js:6968
frontend/admin-app.js:7321
frontend/app.js:1667
frontend/app.js:2263
frontend/partner-app.js:2288
frontend/partner-app.js:3549
frontend/partner-app.js:7730",保留 GET /api/features 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0164,POST,/api/features,backend/server.js:12139,产品管理,产品,产品控制器、工作量配置控制器,产品服务、产品树服务、工作量配置服务,产品仓储、产品发布仓储、工作量规则仓储,批次一,信任前端身份,"frontend/admin-app.js:12699
frontend/admin-app.js:2859
frontend/admin-app.js:4014
frontend/admin-app.js:6968
frontend/admin-app.js:7321
frontend/app.js:1667
frontend/app.js:2263
frontend/partner-app.js:2288
frontend/partner-app.js:3549
frontend/partner-app.js:7730",保留 POST /api/features 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0165,PUT,/api/features/:id,backend/server.js:12168,产品管理,产品,产品控制器、工作量配置控制器,产品服务、产品树服务、工作量配置服务,产品仓储、产品发布仓储、工作量规则仓储,批次一,信任前端身份、内存全量扫描,待确认,保留 PUT /api/features/:id 旧路径，兼容层映射请求、响应和错误后调用新服务。
